0.1	CHAT	type10	guid0
0.1	CHAT	type10	guid0
0.1	CAST	None	spell836
0.1	CAST	None	spell8326
0.5	SWING	1697060624	->	1680283407	dmg0
0.5	SWING	1697060620	->	1680283412	dmg1
1.8	SWING	1697060642	->	1680283425	dmg1
1.8	SWING	1680283425	->	1697060642	dmg1
1.8	SWING	1680283422	->	1697060637	dmg1
1.8	SWING	1697060637	->	1680283422	dmg0
1.8	SWING	1680283412	->	1697060620	dmg1
1.8	SWING	1680283407	->	1697060624	dmg1
1.8	SWING	1697060620	->	1680283412	dmg1
1.8	SWING	1697060642	->	1680283425	dmg1
1.8	SWING	1680283425	->	1697060642	dmg0
1.8	SWING	1680283422	->	1697060637	dmg1
1.8	SWING	1697060637	->	1680283422	dmg1
1.8	SWING	1697060624	->	1680283407	dmg1
1.8	SWING	1680283407	->	1697060624	dmg1
3.8	SWING	1680283412	->	1697060620	dmg1
4.6	SWING	1697060624	->	1680283407	dmg1
4.6	SWING	1697060620	->	1680283412	dmg1
5.8	SWING	1697060642	->	1680283425	dmg1
5.8	SWING	1680283425	->	1697060642	dmg0
5.8	SWING	1680283422	->	1697060637	dmg1
5.8	SWING	1697060637	->	1680283422	dmg1
5.8	SWING	1680283412	->	1697060620	dmg1
5.8	SWING	1697060624	->	1680283407	dmg0
5.8	SWING	1680283407	->	1697060624	dmg0
5.8	SWING	1697060620	->	1680283412	dmg1
6.0	SWING	1697060642	->	1680283425	dmg1
6.0	SWING	1680283425	->	1697060642	dmg1
6.0	SWING	1680283422	->	1697060637	dmg1
6.0	SWING	1697060637	->	1680283422	dmg1
6.0	SWING	1680283407	->	1697060624	dmg1
6.0	CAST	None	spell7897
7.9	SWING	1680283412	->	1697060620	dmg1
8.6	SWING	1697060624	->	1680283407	dmg1
8.6	SWING	1697060620	->	1680283412	dmg0
9.8	SWING	1697060642	->	1680283425	dmg1
9.8	SWING	1680283425	->	1697060642	dmg0
9.8	SWING	1680283422	->	1697060637	dmg1
9.8	SWING	1697060637	->	1680283422	dmg1
9.8	SWING	1680283412	->	1697060620	dmg1
9.8	SWING	1697060624	->	1680283407	dmg1
9.8	SWING	1680283407	->	1697060624	dmg1
9.8	SWING	1697060620	->	1680283412	dmg1
10.0	SWING	1697060642	->	1680283425	dmg1
10.0	SWING	1680283425	->	1697060642	dmg2
10.0	SWING	1680283422	->	1697060637	dmg1
10.0	SWING	1697060637	->	1680283422	dmg1
10.0	SWING	1680283407	->	1697060624	dmg1
11.9	SWING	1680283412	->	1697060620	dmg1
12.2	SWING	9373	->	436218645	dmg73
12.6	SWING	1697060624	->	1680283407	dmg1
12.6	SWING	1697060620	->	1680283412	dmg1
13.9	SWING	1697060642	->	1680283425	dmg1
13.9	SWING	1680283425	->	1697060642	dmg2
13.9	SWING	1680283422	->	1697060637	dmg1
13.9	SWING	1697060637	->	1680283422	dmg1
13.9	SWING	1680283412	->	1697060620	dmg1
13.9	SWING	1697060624	->	1680283407	dmg1
13.9	SWING	1680283407	->	1697060624	dmg1
13.9	SWING	1697060620	->	1680283412	dmg1
14.1	SWING	1697060642	->	1680283425	dmg2
14.1	SWING	1680283425	->	1697060642	dmg0
14.1	SWING	1680283422	->	1697060637	dmg1
14.1	SWING	1697060637	->	1680283422	dmg1
14.1	SWING	1680283407	->	1697060624	dmg1
14.7	CAST	None	spell7897
15.6	SWING	8857	->	436220576	dmg19
15.6	SWING	436220576	->	8857	dmg1
15.9	SWING	1680283412	->	1697060620	dmg1
16.7	SWING	1697060624	->	1680283407	dmg1
16.7	SWING	1697060620	->	1680283412	dmg1
17.6	SWING	8857	->	436220576	dmg19
17.7	SWING	436220576	->	8857	dmg1
18.0	SWING	1697060642	->	1680283425	dmg1
18.0	SWING	1680283425	->	1697060642	dmg1
18.0	SWING	1680283422	->	1697060637	dmg2
18.0	SWING	1697060637	->	1680283422	dmg1
18.0	SWING	1680283412	->	1697060620	dmg1
18.0	SWING	1697060624	->	1680283407	dmg2
18.0	SWING	1680283407	->	1697060624	dmg2
18.0	SWING	1697060620	->	1680283412	dmg2
18.1	SWING	1697060642	->	1680283425	dmg1
18.1	SWING	1680283425	->	1697060642	dmg2
18.1	SWING	1680283422	->	1697060637	dmg1
18.1	SWING	1697060637	->	1680283422	dmg1
18.1	SWING	1680283407	->	1697060624	dmg2
18.3	SWING	12660	->	436212307	dmg9
18.3	SWING	436212307	->	12660	dmg1
19.6	SWING	8857	->	436220576	dmg19
19.7	SWING	436220576	->	8857	dmg1
19.9	SWING	1680283412	->	1697060620	dmg1
20.4	SWING	12660	->	436212307	dmg8
20.4	SWING	436212307	->	12660	dmg2
20.8	SWING	1697060624	->	1680283407	dmg1
20.8	SWING	1697060620	->	1680283412	dmg1
21.8	SWING	8857	->	436220576	dmg21
22.0	SWING	1697060642	->	1680283425	dmg1
22.0	SWING	1680283425	->	1697060642	dmg1
22.0	SWING	1680283422	->	1697060637	dmg1
22.0	SWING	1697060637	->	1680283422	dmg1
22.0	SWING	1680283412	->	1697060620	dmg1
22.0	SWING	1697060624	->	1680283407	dmg1
22.0	SWING	1680283407	->	1697060624	dmg1
22.0	SWING	1697060620	->	1680283412	dmg1
22.1	SWING	1697060642	->	1680283425	dmg1
22.1	SWING	1680283425	->	1697060642	dmg0
22.1	SWING	1680283422	->	1697060637	dmg1
22.1	SWING	1697060637	->	1680283422	dmg1
22.1	SWING	1680283407	->	1697060624	dmg1
22.4	SWING	12660	->	436212307	dmg8
22.4	SWING	436212307	->	12660	dmg1
23.9	SWING	1680283412	->	1697060620	dmg1
24.2	SWING	12596	->	436212307	dmg8
24.5	SWING	12660	->	436212307	dmg10
24.6	SWING	436212307	->	12660	dmg1
24.8	SWING	1697060624	->	1680283407	dmg1
24.8	SWING	1697060620	->	1680283412	dmg1
26.1	SWING	1697060642	->	1680283425	dmg0
26.1	SWING	1680283425	->	1697060642	dmg1
26.1	SWING	1680283422	->	1697060637	dmg1
26.1	SWING	1697060637	->	1680283422	dmg0
26.1	SWING	1680283412	->	1697060620	dmg1
26.1	SWING	1697060624	->	1680283407	dmg1
26.1	SWING	1680283407	->	1697060624	dmg1
26.1	SWING	1697060620	->	1680283412	dmg1
26.2	SWING	3871	->	436217992	dmg489
26.2	SWING	1697060642	->	1680283425	dmg1
26.2	SWING	1680283425	->	1697060642	dmg1
26.2	SWING	1680283422	->	1697060637	dmg1
26.2	SWING	1697060637	->	1680283422	dmg1
26.2	SWING	1680283407	->	1697060624	dmg1
26.3	SWING	12596	->	436212307	dmg8
28.1	SWING	1680283412	->	1697060620	dmg1
28.8	SWING	1697060624	->	1680283407	dmg1
28.8	SWING	1697060620	->	1680283412	dmg1
30.1	SWING	1697060642	->	1680283425	dmg1
30.1	SWING	1680283425	->	1697060642	dmg1
30.1	SWING	1680283422	->	1697060637	dmg1
30.1	SWING	1697060637	->	1680283422	dmg1
30.1	SWING	1680283412	->	1697060620	dmg1
30.1	SWING	1697060624	->	1680283407	dmg1
30.1	SWING	1680283407	->	1697060624	dmg1
30.1	SWING	1697060620	->	1680283412	dmg1
30.2	SWING	1697060642	->	1680283425	dmg0
30.2	SWING	1680283425	->	1697060642	dmg1
30.2	SWING	1680283422	->	1697060637	dmg1
30.2	SWING	1697060637	->	1680283422	dmg2
30.2	SWING	1680283407	->	1697060624	dmg1
32.1	SWING	1680283412	->	1697060620	dmg1
32.9	SWING	1697060624	->	1680283407	dmg0
32.9	SWING	1697060620	->	1680283412	dmg1
34.1	SWING	1697060642	->	1680283425	dmg1
34.1	SWING	1680283425	->	1697060642	dmg1
34.1	SWING	1680283422	->	1697060637	dmg2
