2.1	redridge	OBJ	guid1275110964	entry22860	lvl0	(-9213,-2151)	d67	hp0	mv0	tgt3305532826	?	>	dd0
2.1	redridge	OBJ	guid1208002099	entry22856	lvl0	(-9230,-2160)	d51	hp0	mv0	tgt3305570714	?	>	dd0
2.1	redridge	OBJ	guid1191224882	entry22855	lvl0	(-9229,-2150)	d51	hp0	mv0	tgt3305527951	?	>	dd0
2.1	redridge	OBJ	guid1174447665	entry22854	lvl0	(-9215,-2145)	d65	hp0	mv0	tgt3305510134	?	>	dd0
2.1	redridge	OBJ	guid1593878064	entry22879	lvl0	(-9213,-2153)	d67	hp0	mv0	tgt3305540813	?	>	dd0
2.1	redridge	OBJ	guid218146368	entry2061	lvl0	(-9194,-2153)	d86	hp0	mv0	tgt3305542451	?	>	dd0
2.1	redridge	OBJ	guid788571711	entry22831	lvl0	(-9194,-2153)	d86	hp0	mv0	tgt3305542451	?	>	dd0
2.1	redridge	OBJ	guid218146360	entry2061	lvl0	(-9194,-2154)	d87	hp0	mv0	tgt3305547448	?	>	dd0
2.1	redridge	OBJ	guid872457783	entry22836	lvl0	(-9194,-2154)	d87	hp0	mv0	tgt3305547448	?	>	dd0
2.1	redridge	OBJ	guid268477980	entry22544	lvl0	(-9174,-2118)	d111	hp0	mv0	tgt3305398723	?	>	dd0
2.1	redridge	OBJ	guid251700763	entry22543	lvl0	(-9172,-2120)	d112	hp0	mv0	tgt3305405727	?	>	dd0
2.1	redridge	OBJ	guid218146330	entry22541	lvl0	(-9168,-2112)	d118	hp0	mv0	tgt3305371894	?	>	dd0
2.1	redridge	OBJ	guid201369113	entry22540	lvl0	(-9176,-2116)	d109	hp0	mv0	tgt3305392087	?	>	dd0
2.1	redridge	OBJ	guid218146326	entry2061	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305407980	?	>	dd0
2.1	redridge	OBJ	guid3640698389	entry3801	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305407980	?	>	dd0
2.1	redridge	OBJ	guid218146328	entry2061	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305405481	?	>	dd0
2.1	redridge	OBJ	guid3657475607	entry3802	lvl0	(-9167,-2120)	d117	hp0	mv0	tgt3305405481	?	>	dd0
2.1	redridge	OBJ	guid3103827488	entry2489	lvl0	(-9201,-2068)	d113	hp0	mv0	tgt3305195438	?	>	dd0
2.1	redridge	OBJ	guid2231412260	entry22661	lvl0	(-9199,-2068)	d115	hp0	mv0	tgt3305194701	?	>	dd0
2.1	redridge	OBJ	guid2197857832	entry22659	lvl0	(-9199,-2067)	d117	hp0	mv0	tgt3305187615	?	>	dd0
2.1	redridge	OBJ	guid2214635043	entry22660	lvl0	(-9199,-2065)	d117	hp0	mv0	tgt3305180733	?	>	dd0
2.1	redridge	OBJ	guid2248189483	entry22662	lvl0	(-9201,-2065)	d116	hp0	mv0	tgt3305179914	?	>	dd0
2.1	redridge	OBJ	guid2315298346	entry22666	lvl0	(-9206,-2063)	d114	hp0	mv0	tgt3305173811	?	>	dd0
2.1	redridge	OBJ	guid2348852777	entry22668	lvl0	(-9202,-2063)	d117	hp0	mv0	tgt3305171395	?	>	dd0
2.1	redridge	OBJ	guid3925911079	entry3818	lvl0	(-9207,-2060)	d116	hp0	mv0	tgt3305159803	?	>	dd0
2.1	redridge	OBJ	guid3875579430	entry3815	lvl0	(-9207,-2060)	d116	hp0	mv0	tgt3305159803	?	>	dd0
2.1	redridge	OBJ	guid2952832549	entry149424	lvl0	(-9213,-2062)	d111	hp0	mv0	tgt3305167954	?	>	dd0
2.1	redridge	OBJ	guid2332075554	entry22667	lvl0	(-9203,-2062)	d117	hp0	mv0	tgt3305168200	?	>	dd0
2.1	redridge	OBJ	guid2298521121	entry22665	lvl0	(-9205,-2063)	d115	hp0	mv0	tgt3305172132	?	>	dd0
2.1	redridge	OBJ	guid3942688287	entry3819	lvl0	(-9206,-2060)	d116	hp0	mv0	tgt3305162056	?	>	dd0
2.1	redridge	OBJ	guid3909133854	entry3817	lvl0	(-9206,-2059)	d117	hp0	mv0	tgt3305157263	?	>	dd0
2.1	redridge	OBJ	guid3892356637	entry3816	lvl0	(-9206,-2060)	d116	hp0	mv0	tgt3305162056	?	>	dd0
2.1	redridge	OBJ	guid2030061740	entry3705	lvl0	(-9234,-2040)	d119	hp0	mv0	tgt3305049539	?	>	dd0
2.1	redridge	OBJ	guid218137288	entry2061	lvl0	(-9289,-2251)	d102	hp0	mv0	tgt3305944269	?	>	dd0
2.1	redridge	OBJ	guid234914503	entry2062	lvl0	(-9289,-2251)	d102	hp0	mv0	tgt3305944269	?	>	dd0
4.1	redridge	PLR	guid20000	entry0	lvl60	(-9280,-2150)	d0	hp100	mv0	tgt0	Obseye	>	dd0
4.1	redridge	OBJ	guid3741361678	entry2015	lvl0	(-9261,-2229)	d81	hp0	mv0	tgt3305851372	?	>	dd0
4.1	redridge	OBJ	guid1006675456	entry60	lvl0	(-9243,-2214)	d74	hp0	mv0	tgt3305791160	?	>	dd0
4.1	redridge	OBJ	guid3724584436	entry2014	lvl0	(-9257,-2232)	d85	hp0	mv0	tgt3305865380	?	>	dd0
4.1	redridge	OBJ	guid2063640185	entry175739	lvl0	(-9222,-2222)	d92	hp0	mv0	tgt3305823232	?	>	dd0
4.1	redridge	OBJ	guid1728095831	entry112231	lvl0	(-9224,-2213)	d85	hp0	mv0	tgt3305789030	?	>	dd0
4.1	redridge	OBJ	guid1291888214	entry112205	lvl0	(-9229,-2208)	d78	hp0	mv0	tgt3305768960	?	>	dd0
4.1	redridge	OBJ	guid1275110997	entry112204	lvl0	(-9229,-2214)	d82	hp0	mv0	tgt3305791283	?	>	dd0
4.1	redridge	OBJ	guid1140893268	entry179780	lvl0	(-9224,-2205)	d79	hp0	mv0	tgt3305755566	?	>	dd0
4.1	redridge	OBJ	guid1124116051	entry179779	lvl0	(-9211,-2205)	d88	hp0	mv0	tgt3305755566	?	>	dd0
4.1	redridge	OBJ	guid1459660370	entry112215	lvl0	(-9228,-2200)	d72	hp0	mv0	tgt3305735741	?	>	dd0
4.1	redridge	OBJ	guid1157670481	entry179781	lvl0	(-9220,-2218)	d90	hp0	mv0	tgt3305806070	?	>	dd0
4.1	redridge	OBJ	guid1795204688	entry112235	lvl0	(-9211,-2214)	d94	hp0	mv0	tgt3305789440	?	>	dd0
4.1	redridge	OBJ	guid1778427471	entry112234	lvl0	(-9211,-2211)	d92	hp0	mv0	tgt3305780552	?	>	dd0
4.1	redridge	OBJ	guid1811981902	entry112236	lvl0	(-9211,-2216)	d95	hp0	mv0	tgt3305797755	?	>	dd0
4.1	redridge	OBJ	guid1224779337	entry112201	lvl0	(-9224,-2216)	d86	hp0	mv0	tgt3305797919	?	>	dd0
4.1	redridge	OBJ	guid1208002120	entry112200	lvl0	(-9229,-2201)	d72	hp0	mv0	tgt3305739674	?	>	dd0
4.1	redridge	OBJ	guid1107338823	entry179778	lvl0	(-9217,-2223)	d96	hp0	mv0	tgt3305828884	?	>	dd0
4.1	redridge	OBJ	guid1744873030	entry112232	lvl0	(-9224,-2211)	d83	hp0	mv0	tgt3305780716	?	>	dd0
4.1	redridge	OBJ	guid520136187	entry92703	lvl0	(-9249,-2175)	d40	hp0	mv0	tgt3305630515	?	>	dd0
4.1	redridge	OBJ	guid1862313549	entry112239	lvl0	(-9217,-2187)	d73	hp0	mv0	tgt3305681879	?	>	dd0
4.1	redridge	OBJ	guid1895867980	entry112241	lvl0	(-9211,-2194)	d82	hp0	mv0	tgt3305711084	?	>	dd0
4.1	redridge	OBJ	guid1845536331	entry112238	lvl0	(-9211,-2197)	d83	hp0	mv0	tgt3305719972	?	>	dd0
4.1	redridge	OBJ	guid1828759114	entry112237	lvl0	(-9211,-2199)	d84	hp0	mv0	tgt3305728287	?	>	dd0
4.1	redridge	OBJ	guid2164303482	entry175745	lvl0	(-9239,-2153)	d41	hp0	mv0	tgt3305539666	?	>	dd0
4.1	redridge	OBJ	guid939566659	entry149048	lvl0	(-9239,-2160)	d42	hp0	mv0	tgt3305571983	?	>	dd0
4.1	redridge	OBJ	guid788571659	entry47	lvl0	(-9247,-2152)	d33	hp0	mv0	tgt3305535898	?	>	dd0
4.1	redridge	OBJ	guid50374145	entry144131	lvl0	(-9248,-2144)	d32	hp0	mv0	tgt3305505710	?	>	dd0
4.1	redridge	OBJ	guid3187713526	entry1726	lvl0	(-9247,-2146)	d33	hp0	mv0	tgt3305511240	?	>	dd0
4.1	redridge	OBJ	guid50342886	entry144131	lvl0	(-9248,-2144)	d32	hp0	mv0	tgt3305505710	?	>	dd0
4.1	redridge	OBJ	guid218146373	entry2061	lvl0	(-9226,-2142)	d55	hp0	mv0	tgt3305497518	?	>	dd0
4.1	redridge	OBJ	guid822126148	entry22833	lvl0	(-9226,-2142)	d55	hp0	mv0	tgt3305497518	?	>	dd0
4.1	redridge	OBJ	guid1241556546	entry22858	lvl0	(-9223,-2165)	d59	hp0	mv0	tgt3305592136	?	>	dd0
4.1	redridge	OBJ	guid1610655297	entry22880	lvl0	(-9223,-2146)	d57	hp0	mv0	tgt3305514885	?	>	dd0
4.1	redridge	OBJ	guid218146366	entry2061	lvl0	(-9226,-2144)	d54	hp0	mv0	tgt3305502966	?	>	dd0
4.1	redridge	OBJ	guid838903357	entry22834	lvl0	(-9226,-2144)	d54	hp0	mv0	tgt3305502966	?	>	dd0
4.1	redridge	OBJ	guid1358997052	entry22865	lvl0	(-9226,-2147)	d54	hp0	mv0	tgt3305517056	?	>	dd0
4.1	redridge	OBJ	guid218146363	entry2061	lvl0	(-9224,-2143)	d57	hp0	mv0	tgt3305501245	?	>	dd0
4.1	redridge	OBJ	guid805348922	entry22832	lvl0	(-9224,-2143)	d57	hp0	mv0	tgt3305501245	?	>	dd0
4.1	redridge	OBJ	guid1342219833	entry22864	lvl0	(-9226,-2165)	d56	hp0	mv0	tgt3305591890	?	>	dd0
4.1	redridge	OBJ	guid218146358	entry2061	lvl0	(-9225,-2144)	d55	hp0	mv0	tgt3305503089	?	>	dd0
4.1	redridge	OBJ	guid855680565	entry22835	lvl0	(-9225,-2144)	d55	hp0	mv0	tgt3305503089	?	>	dd0
4.1	redridge	OBJ	guid1275110964	entry22860	lvl0	(-9213,-2151)	d67	hp0	mv0	tgt3305532826	?	>	dd0
4.1	redridge	OBJ	guid1208002099	entry22856	lvl0	(-9230,-2160)	d51	hp0	mv0	tgt3305570714	?	>	dd0
